2024-10-23 11:47:11.239 [info] Starting Python Locator /home/jojoforjob/.vscode-server/extensions/ms-python.python-2024.16.1-linux-x64/python-env-tools/bin/pet server
2024-10-23 11:47:11.695 [info] Discovered env: /usr/bin/python3
2024-10-23 11:47:12.435 [info] Discovered env: /bin/python3
2024-10-23 11:47:13.205 [info] Locator Conda took 321.921234ms
2024-10-23 11:47:13.205 [info] Locator Homebrew took 902.225µs
2024-10-23 11:47:13.205 [info] Locator LinuxGlobal took 313.493153ms
2024-10-23 11:47:13.205 [info] Locator PipEnv took 23.709µs
2024-10-23 11:47:13.205 [info] Locator Poetry took 221.841µs
2024-10-23 11:47:13.205 [info] Locator PyEnv took 267.813µs
2024-10-23 11:47:13.205 [info] Locator Venv took 36.071µs
2024-10-23 11:47:13.205 [info] Locator VirtualEnv took 46.263µs
2024-10-23 11:47:13.205 [info] Locator VirtualEnvWrapper took 50.257µs
2024-10-23 11:47:13.206 [info] Locator GlobalVirtualEnvs took 120.423µs
2024-10-23 11:47:13.206 [info] Locator Locators took 336.445155ms
2024-10-23 11:47:13.206 [info] Locator Path took 608.730938ms
2024-10-23 11:47:13.206 [info] Locator Workspaces took 957ns
2024-10-23 11:47:13.206 [info] Refresh completed in 609ms
