2024-10-24 05:53:12.911 [info] Starting Python Locator /home/jojoforjob/.vscode-server/extensions/ms-python.python-2024.16.1-linux-x64/python-env-tools/bin/pet server
2024-10-24 05:53:13.478 [info] Discovered env: /usr/bin/python3
2024-10-24 05:53:13.478 [info] Discovered env: /bin/python3
2024-10-24 05:53:13.478 [info] Locator Conda took 137.546718ms
2024-10-24 05:53:13.478 [info] Locator Homebrew took 157.59µs
2024-10-24 05:53:13.478 [info] Locator LinuxGlobal took 164.416356ms
2024-10-24 05:53:13.478 [info] Locator PipEnv took 25.593µs
2024-10-24 05:53:13.479 [info] Locator Poetry took 306.717µs
2024-10-24 05:53:13.479 [info] Locator PyEnv took 433.308µs
2024-10-24 05:53:13.479 [info] Locator Venv took 31.142µs
2024-10-24 05:53:13.479 [info] Locator VirtualEnv took 95.734µs
2024-10-24 05:53:13.479 [info] Locator VirtualEnvWrapper took 65.02µs
2024-10-24 05:53:13.479 [info] Locator GlobalVirtualEnvs took 364.346µs
2024-10-24 05:53:13.479 [info] Locator Locators took 172.503392ms
2024-10-24 05:53:13.479 [info] Locator Path took 248.144693ms
2024-10-24 05:53:13.479 [info] Locator Workspaces took 1.865µs
2024-10-24 05:53:13.479 [info] Refresh completed in 254ms
