2024-10-22 11:21:31.820 [info] Starting Python Locator /home/jojoforjob/.vscode-server/extensions/ms-python.python-2024.16.1-linux-x64/python-env-tools/bin/pet server
2024-10-22 11:21:31.821 [info] Discovered env: /usr/bin/python3
2024-10-22 11:21:31.823 [info] Discovered env: /bin/python3
2024-10-22 11:21:31.826 [info] Locator Conda took 101.055914ms
2024-10-22 11:21:31.826 [info] Locator Homebrew took 809.411µs
2024-10-22 11:21:31.826 [info] Locator LinuxGlobal took 142.556804ms
2024-10-22 11:21:31.826 [info] Locator PipEnv took 21.614µs
2024-10-22 11:21:31.826 [info] Locator Poetry took 513.513µs
2024-10-22 11:21:31.826 [info] Locator PyEnv took 6.292899ms
2024-10-22 11:21:31.826 [info] Locator Venv took 24.861µs
2024-10-22 11:21:31.826 [info] Locator VirtualEnv took 28.282µs
2024-10-22 11:21:31.826 [info] Locator VirtualEnvWrapper took 26.992µs
2024-10-22 11:21:31.826 [info] Locator GlobalVirtualEnvs took 337.863µs
2024-10-22 11:21:31.826 [info] Locator Locators took 145.506842ms
2024-10-22 11:21:31.826 [info] Locator Path took 208.815471ms
2024-10-22 11:21:31.826 [info] Locator Workspaces took 4.463µs
2024-10-22 11:21:31.828 [info] Refresh completed in 209ms
