2024-10-22 04:55:07.171 [info] Starting Python Locator /home/jojoforjob/.vscode-server/extensions/ms-python.python-2024.16.1-linux-x64/python-env-tools/bin/pet server
2024-10-22 04:55:07.839 [info] Discovered env: /bin/python3
2024-10-22 04:55:07.875 [info] Discovered env: /usr/bin/python3
2024-10-22 04:55:08.004 [info] Locator Conda took 115.758897ms
2024-10-22 04:55:08.007 [info] Locator Homebrew took 97.882µs
2024-10-22 04:55:08.019 [info] Locator LinuxGlobal took 168.201131ms
2024-10-22 04:55:08.025 [info] Locator PipEnv took 24.004µs
2024-10-22 04:55:08.044 [info] Locator Poetry took 294.994µs
2024-10-22 04:55:08.046 [info] Locator PyEnv took 269.471µs
2024-10-22 04:55:08.046 [info] Locator Venv took 24.436µs
2024-10-22 04:55:08.046 [info] Locator VirtualEnv took 31.416µs
2024-10-22 04:55:08.046 [info] Locator VirtualEnvWrapper took 26.137µs
2024-10-22 04:55:08.046 [info] Locator GlobalVirtualEnvs took 149.692µs
2024-10-22 04:55:08.046 [info] Locator Locators took 182.587766ms
2024-10-22 04:55:08.046 [info] Locator Path took 319.912773ms
2024-10-22 04:55:08.047 [info] Locator Workspaces took 85.365342ms
2024-10-22 04:55:08.047 [info] Refresh completed in 327ms
