2024-10-24 06:11:20.610 [info] Starting Python Locator /home/jojoforjob/.vscode-server/extensions/ms-python.python-2024.16.1-linux-x64/python-env-tools/bin/pet server
2024-10-24 06:11:20.804 [info] Discovered env: /usr/bin/python3
2024-10-24 06:11:20.804 [info] Discovered env: /bin/python3
2024-10-24 06:11:20.804 [info] Locator Conda took 71.309111ms
2024-10-24 06:11:20.804 [info] Locator Homebrew took 239.111µs
2024-10-24 06:11:20.804 [info] Locator LinuxGlobal took 68.502749ms
2024-10-24 06:11:20.804 [info] Locator PipEnv took 48.431µs
2024-10-24 06:11:20.804 [info] Locator Poetry took 511.277µs
2024-10-24 06:11:20.804 [info] Locator PyEnv took 1.092246ms
2024-10-24 06:11:20.804 [info] Locator Venv took 48.688µs
2024-10-24 06:11:20.804 [info] Locator VirtualEnv took 74.684µs
2024-10-24 06:11:20.804 [info] Locator VirtualEnvWrapper took 47.256µs
2024-10-24 06:11:20.804 [info] Locator GlobalVirtualEnvs took 1.431039ms
2024-10-24 06:11:20.805 [info] Locator Locators took 72.428241ms
2024-10-24 06:11:20.805 [info] Locator Path took 127.161209ms
2024-10-24 06:11:20.805 [info] Locator Workspaces took 83.423604ms
2024-10-24 06:11:20.805 [info] Refresh completed in 127ms
